id,first_5_seconds,last_5_seconds,word_count,words_per_second,sentence_count,question_count,numbers,names,countries,brands
PLTX-0m4j1A,,,0,,0,0,,,,
FLGeiqVyt-E,,,0,,0,0,,,,
L5C9fLQCgKo,,,0,,0,0,,,,
4ED7mGwtF10,,,0,,0,0,,,,
h5bnDMUeedc,,,0,,0,0,,,,
0z04iVmcxQI,,,0,,0,0,,,,
LCQSD3uTNbY,,,0,,0,0,,,,
3LWaGHCWS3A,,,0,,0,0,,,,
s41Kh43Fb_k,,,0,,0,0,,,,
1bfevVnT3_k,,,0,,0,0,,,,
bO76tWPN3aw,,,0,,0,0,,,,
b4JyUDN5Tks,,,0,,0,0,,,,
IdK2yquBSXc,,,0,,0,0,,,,
mSk4nK16g6Y,,,0,,0,0,,,,
P_C6LegWdgM,,,0,,0,0,,,,
r7cOX6BZLD0,,,0,,0,0,,,,
inPARIAK3Rg,,,0,,0,0,,,,
m3h_nLunitg,,,0,,0,0,,,,
YfuT5H88e_4,,,0,,0,0,,,,
22NtUBYyrZI,,,0,,0,0,,,,
ad6myAToGtY,,,0,,0,0,,,,
ReldNToHfx4,,,0,,0,0,,,,
6fmWL-EFw24,,,0,,0,0,,,,
Ll3YoMbnuiw,,,0,,0,0,,,,
-MV85gqpDVk,,,0,,0,0,,,,
1424rJ_c7Ss,,,0,,0,0,,,,
T6T35NmRXYI,,,0,,0,0,,,,
aVDUlCFHMR8,,,0,,0,0,,,,
5h43j1Jt5TA,,,0,,0,0,,,,
BeNSA763keY,,,0,,0,0,,,,
JcmJUJPkMN8,,,0,,0,0,,,,
ARrG4HHPVYg,,,0,,0,0,,,,
VxeLuexgPVM,,,0,,0,0,,,,
t8SXW62-Y3g,,,0,,0,0,,,,
qZ3p6vkPUDc,,,0,,0,0,,,,
0DXmTXnXFrY,,,0,,0,0,,,,
Na-QDmC2wSs,,,0,,0,0,,,,
MsHF96uAK2s,,,0,,0,0,,,,
6LUb0EnkPzc,,,0,,0,0,,,,
wFHbgRtC9sQ,,,0,,0,0,,,,
7kgZs4bnud4,,,0,,0,0,,,,
NZY500sqDcY,,,0,,0,0,,,,
Yb-W0X5-eN8,,,0,,0,0,,,,
nshcJlmInXk,,,0,,0,0,,,,
yTek1SqNe3I,,,0,,0,0,,,,
SdsXrdA2p-I,,,0,,0,0,,,,
GbZH7BL1Cvw,,,0,,0,0,,,,
tP4TQkgl7HQ,,,0,,0,0,,,,
K4nqYUYAgEA,,,0,,0,0,,,,
R89ubT04meY,,,0,,0,0,,,,
ykiJ3bT256w,,,0,,0,0,,,,
BLyM4qbmNfc,,,0,,0,0,,,,
BjB2DzgwA38,,,0,,0,0,,,,
ffvuu1iZMak,,,0,,0,0,,,,
QW0IaYXkk-A,,,0,,0,0,,,,
7eiQP6fUKUc,,,0,,0,0,,,,
nKzssGHxEtg,,,0,,0,0,,,,
bC41e6_5-cU,,,0,,0,0,,,,
nl7AKhj-lUY,,,0,,0,0,,,,
CCGHP6PlVPM,,,0,,0,0,,,,
0Ds3hBRHTTY,,,0,,0,0,,,,
TXGvGEBOxG0,,,0,,0,0,,,,
vKamF7eDbF0,,,0,,0,0,,,,
Q0_45r8J6y8,,,0,,0,0,,,,
65IQkAVi3zc,,,0,,0,0,,,,
iUBte2f6rwI,,,0,,0,0,,,,
vQbzzlL21fc,,,0,,0,0,,,,
QT9SxFA0JEQ,,,0,,0,0,,,,
AgxAaEGlRMU,,,0,,0,0,,,,
2bNll3yc7r0,,,0,,0,0,,,,
T28dgX5cRHk,,,0,,0,0,,,,
4Zbflvl8oRY,,,0,,0,0,,,,
8nH98RaJ8ss,,,0,,0,0,,,,
Mt3-mFJOQYM,,,0,,0,0,,,,
mhGtrTypZv8,,,0,,0,0,,,,
8AcfjdQPQZA,,,0,,0,0,,,,
gGIXDvGHXrA,,,0,,0,0,,,,
ozg0biR_FiA,,,0,,0,0,,,,
UK3XO6qj94c,,,0,,0,0,,,,
4RX2QIdOQKQ,,,0,,0,0,,,,
hH57qsVKa_4,,,0,,0,0,,,,
T1KbhCMmsF8,,,0,,0,0,,,,
0CJOfy5Y62M,,,0,,0,0,,,,
4pDx5dGz3zg,,,0,,0,0,,,,
zhHnnXPPzkk,,,0,,0,0,,,,
xQZFSPh5GDk,,,0,,0,0,,,,
2DhkaWeOV3w,,,0,,0,0,,,,
WAPgUp89r1E,,,0,,0,0,,,,
H6PB9doS6uw,,,0,,0,0,,,,
JP-uPMxiV0I,,,0,,0,0,,,,
